0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:43 -0600] "GET /BluebirdMVC/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:43 -0600] "GET /BluebirdMVC/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:43 -0600] "GET /BluebirdMVC/js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:43 -0600] "GET /BluebirdMVC/js/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:43 -0600] "GET /BluebirdMVC/js/angular-chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:43 -0600] "GET /BluebirdMVC/js/ui-bootstrap-tpls-2.2.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:43 -0600] "GET /BluebirdMVC/app_client/controllers/landingController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:43 -0600] "GET /BluebirdMVC/app_client/controllers/registerController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:43 -0600] "GET /BluebirdMVC/app_client/controllers/profileController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:43 -0600] "GET /BluebirdMVC/app_client/controllers/loginController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:43 -0600] "GET /BluebirdMVC/app_client/ngApp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:43 -0600] "GET /BluebirdMVC/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:43 -0600] "GET /BluebirdMVC/app_client/controllers/logoutController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:43 -0600] "GET /BluebirdMVC/ HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:43 -0600] "GET /BluebirdMVC/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:44 -0600] "GET /BluebirdMVC/js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:44 -0600] "GET /BluebirdMVC/js/angular-chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:44 -0600] "GET /BluebirdMVC/app_client/controllers/loginController.js HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:44 -0600] "GET /BluebirdMVC/app_client/ngApp.js HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [16/Mar/2017:19:09:44 -0600] "GET /BluebirdMVC/js/ui-bootstrap-tpls-2.2.0.min.js HTTP/1.1" 304 -
